发展_NN 1934814_CD
大西洋_AD 12338_CD
套取_VV 12310_CD
特许_AD 12200_CD
金融_NN 时_LC 报_VV 12191_CD
债权_NN 12069_CD
开户_NN 12004_CD
洗钱_NN 11930_CD
代理商_NN 11918_CD
中海_NR 11843_CD
购买力_NN 11841_CD
筹码_NN 11840_CD
财长_VV 11763_CD
经_P 济圈_NN 11698_CD
资本_JJ 市场_NN 11655_CD
股民_NN 11641_CD
孵化器_NN 11622_CD
定金_NN 11460_CD
单据_P 11455_CD
回扣_NN 11375_CD
罢工_NN 11325_CD
年报_JJ 11267_NN
盘_NN 中_LC 11263_CD
平价_NN 11161_CD
华尔街_NN 11115_CD
报表_VV 11086_CD
上浮_NR 11036_CD
卖点_NN 11021_CD
变数_NN 10918_CD
房贷_NN 10830_CD
专款_AD 10774_CD
建筑业_NN 10756_CD
中西_NN 10690_CD
互换_VV 10687_CD
变卖_VV 10619_CD
股指_NN 10546_CD
硅谷_NN 10499_CD
技术_NN 改造_VV 10484_CD
连云港_NN 10472_CD
杂志_JJ 社_NN 10438_CD
挤出_VV 10378_CD
采样_VV 10336_CD
债权人_NN 10329_CD
加息_NN 10293_CD
保税_NN 10191_CD
盗取_VV 10182_CD
消费税_NN 10177_CD
完整性_JJ 10109_NN
沃尔玛_NN 10087_CD
万科_NT 10065_CD
市场部_NN 10052_CD
介于_VV 10051_CD
美联_VV 储_VV 10023_CD
畅游_NN 9972_CD
契约_AD 9929_CD
放贷_VV 9925_CD
麦当劳_AD 9918_CD
面值_NN 9784_CD
税务局_NN 9780_CD
赔钱_NN 9749_CD
福特_AD 9586_CD
共产_AD 主义_VV 9522_CD
按揭_AD 9486_CD
持卡_VV 9478_CD
远期_JJ 9471_NN
基点_NN 9396_CD
按月_NT 9328_CD
炒股_NN 9244_CD
工行_VV 9241_CD
竞标_NN 9225_CD
违约_AD 金_VV 9209_CD
出局_VV 9195_CD
中兴_NN 9165_CD
首席_AD 执行_VV 官_NN 9153_CD
独资_NN 9143_CD
铁道_NN 9124_CD
硬币_NN 9071_CD
跌破_VV 9005_CD
插队_NN 8951_CD
高利贷_NN 8945_CD
专营_AD 8914_CD
估价_NN 8912_CD
益处_NN 8912_CD
工钱_NN 8895_CD
推介_NN 会_VV 8813_CD
回调_VV 8741_CD
超值_NN 8734_CD
所有_DT 者8728_NN
抵消_VV 8724_CD
要价_NN 8715_CD
黑手_NN 8695_CD
短线_NN 8670_CD
萧条_NN 8655_CD
出逃_VV 8642_CD
经理人_AD 8628_CD
出货_NN 8617_CD
佣金_NN 8580_CD
体彩_NN 8569_CD
市场_NN 占有_VV 率_VV 8560_CD
海尔_NN 8513_CD
东航_NN 8346_CD
压低_VV 8340_CD
损耗_NN 8307_CD
图形_NN 8293_CD
仪表_NN 8288_CD
后市_NN 8226_CD
房款_NN 8218_CD
上证_JJ 8200_NN
支票_NN 8199_CD
增资_NN 8197_CD
准备_JJ 金率_NN 8181_CD
顶峰_NN 8079_CD
发行量_NN 7920_CD
淡出_VV 7909_CD
收款_NN 7889_CD
开门_NN 红_VA 7867_CD
盗用_VV 7823_CD
携程_NN 7769_CD
图表_NN 7757_CD
古董_NN 7668_CD
买方_NN 7663_CD
摇摆_VV 7662_CD
资本金_AD 7651_CD
申购_VV 7645_CD
接洽_NN 7584_CD
大连港_AD 7559_CD
新世界_JJ 7488_NN
主营_NN 业务_NN 7444_CD
现货_JJ 7434_NN
回报率_NN 7401_CD
澳元_NN 7393_CD
资本_NR 主义_NN 7324_CD
国有化_VV 7308_CD
批_NT 发商_VV 7289_CD
涨跌_VV 7284_CD
主板_NN 7277_CD
预热_NN 7265_CD
补助金_NN 7244_CD
顺差_VV 7235_CD
诺基亚_NN 7197_CD
可_VV 信度_NN 7163_CD
租借_VV 7143_CD
搜狐_NN 7138_CD
锦江_NN 7128_CD
母公司_NN 7083_CD
周期性_NN 7071_CD
新台阶_NN 7023_CD
外债_NN 6993_CD
最_AD 高点_NN 6937_CD
公用_JJ 事业_NN 6814_CD
充值_NN 6772_CD
网银_NN 6770_CD
王府井_NN 6731_CD
抛售_VV 6718_CD
薪金_NN 6700_CD
亚马_NN 逊_VA 6672_CD
卡号_NN 6650_CD
保险业_NN 6639_CD
质押_NN 6628_CD
套现_VV 6617_CD
溢价_NN 6559_CD
补足_VV 6522_CD
收储_VV 6519_CD
陆家嘴_NN 6513_CD
可口_NN 可乐_VV 6505_CD
九_CD 州_NN 6481_CD
徐家_NN 汇_VV 6457_CD
私企_AD 6429_CD
年金_NN 6405_CD
过热_NT 6399_CD
吃紧_VV 6367_CD
本_DT 息_NN 6362_CD
汇丰_VV 6356_CD
倾销_VV 6322_CD
净值_NN 6319_CD
遗嘱_NN 6271_CD
遥遥_NN 领先_VV 6261_CD
不_AD 容_VV 乐观_NN 6243_CD
入主_VV 6228_CD
失守_VV 6203_CD
财团_NN 6201_CD
逆势_NN 6174_CD
金牛_NN 6143_CD
批文_NN 6125_CD
谷底_NN 6125_CD
附_NN 加费_VV 6064_CD
增发_VV 6057_CD
拒收_VV 6043_CD
鄂尔多_NR 斯_DT 6015_CD
国安_NN 6008_CD
税金_NN 5989_CD
南洋_NN 5976_CD
总行_NN 5952_CD
斩获_VV 5951_CD
财政_NN 赤字_NN 5934_CD
背书_NN 5914_CD
贵_JJ 金属_NN 5896_CD
市场_NN 体系_NN 5891_CD
暴富_AD 5868_CD
委托书_NN 5849_CD
牛市_NR 5832_CD
第一_OD 财经_JJ 日报_NN 5814_CD
散户_NN 5810_CD
联通_VV 5809_CD
停牌_NN 5807_CD
海航_NN 5797_CD
翻_VV 一_CD 番_M 5767_CD
中行_NN 5766_CD
救市_NN 5743_CD
股本_NR 5730_CD
白云_NN 机场_NN 5701_CD
存货_NN 5688_CD
时效性_NN 5682_CD
逃税_NN 5659_CD
静止_VV 5653_CD
网下_NN 5614_CD
外币_NN 5614_CD
金矿_NN 5600_CD
外销_NN 5565_CD
金条_NN 5532_CD
保监会_NN 5443_CD
流动_JJ 资金_NN 5429_CD
盈余_NN 5413_CD
比价_VV 5359_CD
有价_JJ 证券_NN 5338_CD
天津港_NN 5318_CD
保单_VV 5317_CD
结清_NN 5315_CD
首_CS 付款_VV 5312_CD
展期_NN 5288_CD
国民_NN 收入_VV 5272_CD
古玩_NN 5264_CD
反转_VV 5234_CD
联办_VV 5171_CD
监事_NN 会_VV 5151_CD
回购_VV 5126_CD
一_CD 年期_NN 5122_CD
意向书_AD 5108_CD
中_JJ 小板_NN 5101_CD
面额_NN 5098_CD
银联_NN 5097_CD
国网_NN 5086_CD
看涨_VV 5084_CD
经济_VV 参考报_NN 5070_CD
借款人_NN 5065_CD
广_AD 发_VV 5053_CD
承租人_NN 5010_CD
百花5000_NN
融通_VV 4999_CD
放量_NN 4959_NN
出纳_VV 4916_CD
白云山_NN 4907_CD
准备金_NN 4892_CD
临界_NN 4891_CD
逆差_VV 4847_CD
偿债_NN 4838_CD
非公_AD 经济_VV 4838_CD
退场_NN 4834_CD
日_NN 内_LC 4760_CD
颓势_NN 4753_CD
投票权_NN 4738_CD
测验_NN 4724_CD
赎回_VV 4705_CD
豁免_VV 4680_CD
金融界_NN 4669_CD
双开_AD 4666_CD
深_AD 交所_VV 4662_CD
通盘_NN 4637_CD
金融街_NN 4625_CD
清_AD 偿_VV 4621_CD
打转_VV 4586_CD
钱币_NN 4584_CD
高盛_AD 4520_CD
净_JJ 资产_NN 4518_CD
新经_AD 济_VV 4493_CD
经济_NN 技术_NN 开发区_NN 4469_CD
合金_NN 4466_CD
炒房_NN 4461_CD
衍生品_NN 4393_NN
波浪_NN 4387_CD
日照_NR 4376_CD
宝钢_NN 4340_CD
监事_NN 4340_CD
一_CD 触_NN 即_AD 发_VV 4336_CD
金融办_NN 4334_CD
中_LC 远_VA 4321_CD
永安_AD 4278_CD
软着_P 陆4275_NN
利空_NN 4262_CD
板材_NN 4260_CD
金桥_NN 4254_CD
电讯_NN 4223_CD
综述_NN 4213_CD
摩根_NN 4208_CD
动因_VV 4180_CD
年审_NN 4175_CD
雅虎_NN 4155_CD
退市_NN 4140_CD
人寿_NN 保险_NN 4136_CD
中南财_NN 经政_NN 法_NN 大学_AD 4108_CD
三角形_NN 4092_CD
托盘_NN 4088_CD
据传_AD 4009_CD
盎司_NN 4005_CD
出资人_NN 3993_CD
中国_NR 银监_NN 会_VV 3981_CD
信贷_NN 资金_NN 3972_CD
花旗_NN 3971_CD
政府_NN 采购_VV 3961_CD
假定_NN 3955_CD
富国_NR 3944_CD
胜算_VV 3944_CD
抵押物_NN 3941_CD
国泰_NN 3940_CD
特_AD 困户_NN 3938_CD
通胀率_NN 3934_CD
银行家_NN 3924_CD
上_NN 汽_VV 3919_CD
避风港_NN 3891_CD
证券化_NN 3877_CD
变量_NN 3873_CD
配售_VV 3869_CD
折旧_NN 3866_CD
新_JJ 纪元_NN 3844_CD
买进_VV 3837_CD
伊利_NN 3823_CD
经济_AD 日报_VV 3797_CD
低点_NN 3793_CD
浦发_NN 3782_CD
偿付_VV 3780_CD
探底_NN 3766_CD
折价_NN 3759_CD
烽火_NN 3757_CD
崩盘_NN 3741_CD
沪指_NN 3724_CD
银山_NN 3722_CD
寿险_NN 3680_CD
上交_CS 所_MSP 3667_CD
保额_NN 3666_CD
蓝筹_JJ 股3658_NN
珠峰_NN 3655_CD
硬指标_NN 3644_CD
金杯_NN 3638_CD
热炒_NN 3625_CD
惠普_NN 3609_CD
白金_NN 3574_CD
天安_NN 3573_CD
雷声_NN 3541_CD
招商局_NN 3522_CD
交割_NN 3492_CD
买断_VV 3462_CD
分期_NN 付款_NN 3460_CD
招行_NN 3442_CD
武钢_VV 3432_CD
避税_NN 3400_CD
趋同_AD 3366_CD
英特尔_AD 3339_CD
期权_NN 3338_CD
评语_NN 3321_CD
债务人_NN 3314_CD
无形_JJ 资产_NN 3299_CD
开拓_VV 进取_VV 3298_CD
货币化_NN 3295_CD
强_CS 生_VV 3271_CD
获批_NN 3259_CD
星巴克_NN 3253_CD
中国_NR 人民_NN 银行_NN 3229_CD
钱庄_NN 3228_CD
异动_NN 3226_CD
进口商_NN 3222_CD
预付款_NN 3214_CD
比索_VV 3212_CD
盗刷_NN 3197_CD
次月_NN 3190_CD
财险_NN 3183_CD
金鹰_NN 3173_CD
销售_VV 一_CD 空_M 3168_CD
国家_NN 外汇_NN 管理局_NN 3167_CD
港股_NN 3140_CD
参保率_NN 3118_CD
中银_NN 3117_CD
游资_NN 3116_CD
投资方_NN 3115_CD
三_CD 联_P 3113_CD
印花税_NN 3100_CD
交行_VV 3092_CD
存贷款_NN 3081_CD
金城_NN 3080_CD
中国_NR 经济_NN 周刊_NN 3079_CD
物价_NN 指数_NN 3076_CD
担保人_NN 3049_CD
光华_NN 3042_CD
国泰君_NN 安_VA 3024_CD
黑钱_NN 2989_CD
出口商_NN 2985_CD
风控_NN 2981_CD
仓位_NN 2953_CD
国电_NN 2941_CD
跨行_VV 2937_CD
存单_VV 2936_CD
纪念章_NN 2880_CD
拒付_VV 2850_CD
统计学_NN 2848_CD
京西_NN 2844_CD
邮政_NN 储蓄_VV 2840_CD
调回_VV 2817_CD
扭亏_VV 为_VC 盈_NN 2816_CD
卧龙_NN 2772_CD
财务部_NN 2751_CD
发行价_NN 2751_CD
消费类_NN 2741_CD
大中型_JJ 企业_NN 2741_CD
阿波罗_NN 2718_CD
还_AD 本_DT 付息_NN 2706_CD
发行人_NN 2702_CD
坏账_NR 2687_CD
中间商_NN 2667_CD
国药_NN 2666_CD
价差_NN 2651_CD
卖价_NN 2647_CD
中文网_NN 2643_CD
商品_NN 市场_NN 2638_CD
商品化_NN 2627_CD
双汇_NT 2619_CD
优先_AD 权_VV 2589_CD
大人物_NN 2573_CD
总_JJ 需求_NN 2572_CD
下陷_NN 2570_CD
戴尔_VV 2551_CD
代销_VV 2543_CD
摘牌_NN 2536_CD
跌_VV 至_P 2531_CD
赌球_NN 2523_CD
资产_NN 负债_NN 表_VV 2516_CD
利差_VV 2494_CD
